trade_date,yyyymm,counterparty,asset_class,currency,trade_type,metric,value
2025-04-07,2025-04,Bank A,Bond,JPY,Buy,notional,2935065.743839578
2025-04-07,2025-04,Bank A,Bond,JPY,Buy,notional_mn,2.9350657438395777
2025-04-07,2025-04,Bank A,Bond,JPY,Buy,pnl,-25005.900166187486
2025-04-07,2025-04,Bank A,Bond,JPY,Sell,notional,561946.0123377853
2025-04-07,2025-04,Bank A,Bond,JPY,Sell,notional_mn,0.5619460123377853
2025-04-07,2025-04,Bank A,Bond,JPY,Sell,pnl,-15952.760327976715
2025-04-07,2025-04,Bank A,Equity,EUR,Buy,notional,2501975.0373048866
2025-04-07,2025-04,Bank A,Equity,EUR,Buy,notional_mn,2.5019750373048866
2025-04-07,2025-04,Bank A,Equity,EUR,Buy,pnl,-36217.41772036888
2025-04-07,2025-04,Bank A,Equity,JPY,Sell,notional,1434242.459109949
2025-04-07,2025-04,Bank A,Equity,JPY,Sell,notional_mn,1.434242459109949
2025-04-07,2025-04,Bank A,Equity,JPY,Sell,pnl,5506.311731155392
2025-04-07,2025-04,Bank B,Equity,GBP,Sell,notional,2805068.916870198
2025-04-07,2025-04,Bank B,Equity,GBP,Sell,notional_mn,2.8050689168701983
2025-04-07,2025-04,Bank B,Equity,GBP,Sell,pnl,9042.704275643351
2025-04-07,2025-04,Bank B,Equity,JPY,Buy,notional,1364337.1966324127
2025-04-07,2025-04,Bank B,Equity,JPY,Buy,notional_mn,1.3643371966324127
2025-04-07,2025-04,Bank B,Equity,JPY,Buy,pnl,13479.039997692937
2025-04-07,2025-04,Bank B,Equity,JPY,Sell,notional,3220209.7483612886
2025-04-07,2025-04,Bank B,Equity,JPY,Sell,notional_mn,3.2202097483612886
2025-04-07,2025-04,Bank B,Equity,JPY,Sell,pnl,-76336.64720533378
2025-04-07,2025-04,Bank C,Equity,GBP,Buy,notional,1983042.5955451687
2025-04-07,2025-04,Bank C,Equity,GBP,Buy,notional_mn,1.9830425955451687
2025-04-07,2025-04,Bank C,Equity,GBP,Buy,pnl,2415.936804088686
2025-04-08,2025-04,Bank A,Commodity,GBP,Buy,notional,917982.0216486482
2025-04-08,2025-04,Bank A,Commodity,GBP,Buy,notional_mn,0.9179820216486482
2025-04-08,2025-04,Bank A,Commodity,GBP,Buy,pnl,23815.47076108885
2025-04-08,2025-04,Bank A,Equity,JPY,Buy,notional,642510.2174179868
2025-04-08,2025-04,Bank A,Equity,JPY,Buy,notional_mn,0.6425102174179869
2025-04-08,2025-04,Bank A,Equity,JPY,Buy,pnl,15478.501236508731
2025-04-08,2025-04,Bank B,Bond,USD,Sell,notional,3813096.1930190553
2025-04-08,2025-04,Bank B,Bond,USD,Sell,notional_mn,3.8130961930190552
2025-04-08,2025-04,Bank B,Bond,USD,Sell,pnl,123853.07635436176
2025-04-08,2025-04,Bank B,Equity,JPY,Buy,notional,3281989.538003662
2025-04-08,2025-04,Bank B,Equity,JPY,Buy,notional_mn,3.2819895380036623
2025-04-08,2025-04,Bank B,Equity,JPY,Buy,pnl,53353.57420570462
2025-04-08,2025-04,Bank B,FX,GBP,Sell,notional,2548485.651716056
2025-04-08,2025-04,Bank B,FX,GBP,Sell,notional_mn,2.548485651716056
2025-04-08,2025-04,Bank B,FX,GBP,Sell,pnl,-16470.626980788515
2025-04-08,2025-04,Bank C,Equity,EUR,Buy,notional,2538971.4370751823
2025-04-08,2025-04,Bank C,Equity,EUR,Buy,notional_mn,2.5389714370751824
2025-04-08,2025-04,Bank C,Equity,EUR,Buy,pnl,-37926.98101427352
2025-04-08,2025-04,Bank C,FX,JPY,Buy,notional,1880448.9548938363
2025-04-08,2025-04,Bank C,FX,JPY,Buy,notional_mn,1.8804489548938363
2025-04-08,2025-04,Bank C,FX,JPY,Buy,pnl,66719.67163507896
2025-04-08,2025-04,Bank D,FX,EUR,Sell,notional,3650193.272119765
2025-04-08,2025-04,Bank D,FX,EUR,Sell,notional_mn,3.650193272119765
2025-04-08,2025-04,Bank D,FX,EUR,Sell,pnl,-30108.46278032834
2025-04-09,2025-04,Bank A,Bond,EUR,Sell,notional,750467.9652649122
2025-04-09,2025-04,Bank A,Bond,EUR,Sell,notional_mn,0.7504679652649122
2025-04-09,2025-04,Bank A,Bond,EUR,Sell,pnl,-2528.061451757886
2025-04-09,2025-04,Bank A,Equity,GBP,Sell,notional,2608212.19938074
2025-04-09,2025-04,Bank A,Equity,GBP,Sell,notional_mn,2.60821219938074
2025-04-09,2025-04,Bank A,Equity,GBP,Sell,pnl,54998.951102544655
2025-04-09,2025-04,Bank A,FX,USD,Sell,notional,2692239.088753615
2025-04-09,2025-04,Bank A,FX,USD,Sell,notional_mn,2.692239088753615
2025-04-09,2025-04,Bank A,FX,USD,Sell,pnl,-26575.54423408557
2025-04-09,2025-04,Bank B,Bond,EUR,Buy,notional,3467173.90540051
2025-04-09,2025-04,Bank B,Bond,EUR,Buy,notional_mn,3.46717390540051
2025-04-09,2025-04,Bank B,Bond,EUR,Buy,pnl,-78909.54991739968
2025-04-09,2025-04,Bank B,Bond,GBP,Buy,notional,3511913.7347325296
2025-04-09,2025-04,Bank B,Bond,GBP,Buy,notional_mn,3.5119137347325298
2025-04-09,2025-04,Bank B,Bond,GBP,Buy,pnl,87936.35026595434
2025-04-09,2025-04,Bank C,Equity,JPY,Buy,notional,2570053.584051432
2025-04-09,2025-04,Bank C,Equity,JPY,Buy,notional_mn,2.570053584051432
2025-04-09,2025-04,Bank C,Equity,JPY,Buy,pnl,-75018.96197656321
2025-04-10,2025-04,Bank A,Equity,EUR,Buy,notional,3603215.072502993
2025-04-10,2025-04,Bank A,Equity,EUR,Buy,notional_mn,3.603215072502993
2025-04-10,2025-04,Bank A,Equity,EUR,Buy,pnl,-51512.06058986411
2025-04-10,2025-04,Bank B,Equity,EUR,Sell,notional,1007237.7377254058
2025-04-10,2025-04,Bank B,Equity,EUR,Sell,notional_mn,1.0072377377254058
2025-04-10,2025-04,Bank B,Equity,EUR,Sell,pnl,13302.772042343591
2025-04-10,2025-04,Bank C,Commodity,USD,Sell,notional,2884267.838168828
2025-04-10,2025-04,Bank C,Commodity,USD,Sell,notional_mn,2.884267838168828
2025-04-10,2025-04,Bank C,Commodity,USD,Sell,pnl,41048.28183988855
2025-04-10,2025-04,Bank C,Equity,EUR,Buy,notional,2464326.928467963
